v4_gene_model	v3_gene_model
Zm00001d007034	GRMZM2G049347
Zm00001d033872	GRMZM2G049349
Zm00001d041947	GRMZM2G049351
Zm00001d020303	GRMZM2G049364
Zm00001d034540	GRMZM2G049370
Zm00001d016919	GRMZM2G049372
Zm00001d042653	GRMZM2G049373
Zm00001d011515	GRMZM2G049378
Zm00001d048567	GRMZM2G049382
Zm00001d016158	GRMZM2G049390
Zm00001d048132	GRMZM2G049398
Zm00001d008360	GRMZM2G049416
Zm00001d012212	GRMZM2G049418
Zm00001d030014	GRMZM2G049422
Zm00001d010521	GRMZM2G049424
Zm00001d008314	GRMZM2G049429
Zm00001d034540	GRMZM2G049432
Zm00001d042652	GRMZM2G049464
Zm00001d048270	GRMZM2G049484
Zm00001d002352	GRMZM2G049487
Zm00001d001798	GRMZM2G049495
Zm00001d042955	GRMZM2G049510
Zm00001d049958	GRMZM2G049525
Zm00001d001799	GRMZM2G049536
Zm00001d002351	GRMZM2G049538
Zm00001d003068	GRMZM2G049541
Zm00001d034401	GRMZM2G049547
Zm00001d003477	GRMZM2G049549
Zm00001d009305	GRMZM2G049565
Zm00001d003476	GRMZM2G049568
Zm00001d005157	GRMZM2G049588
Zm00001d003069	GRMZM2G049608
Zm00001d015125	GRMZM2G049609
Zm00001d006286	GRMZM2G049613
Zm00001d052953	GRMZM2G049623
Zm00001d024416	GRMZM2G049641
Zm00001d043333	GRMZM2G049654
Zm00001d020657	GRMZM2G049660
Zm00001d008514	GRMZM2G049661
Zm00001d040191	GRMZM2G049672
Zm00001d016895	GRMZM2G049675
Zm00001d025369	GRMZM2G049681
Zm00001d034498	GRMZM2G049687
Zm00001d042562	GRMZM2G049691
Zm00001d045599	GRMZM2G049693
Zm00001d008808	GRMZM2G049695
Zm00001d010939	GRMZM2G049726
Zm00001d036716	GRMZM2G049730
Zm00001d015124	GRMZM2G049755
Zm00001d043330	GRMZM2G049759
Zm00001d029330	GRMZM2G049762
Zm00001d032801	GRMZM2G049766
Zm00001d039942	GRMZM2G049767
Zm00001d008515	GRMZM2G049781
Zm00001d022346	GRMZM2G049785
Zm00001d034497	GRMZM2G049790
Zm00001d016896	GRMZM2G049798
Zm00001d045965	GRMZM2G049811
Zm00001d053658	GRMZM2G049839
Zm00001d029677	GRMZM2G049852
Zm00001d044469	GRMZM2G049866
Zm00001d042953	GRMZM2G049877
Zm00001d022036	GRMZM2G049882
Zm00001d034496	GRMZM2G049888
Zm00001d024028	GRMZM2G049892
Zm00001d042952	GRMZM2G049893
Zm00001d040192	GRMZM2G049895
Zm00001d041703	GRMZM2G049902
Zm00001d034495	GRMZM2G049906
Zm00001d034494	GRMZM2G049912
Zm00001d022476	GRMZM2G049913
Zm00001d024027	GRMZM2G049915
Zm00001d050299	GRMZM2G049921
Zm00001d000012	GRMZM2G049930
Zm00001d036228	GRMZM2G049950
Zm00001d040193	GRMZM2G049952
Zm00001d040193	GRMZM2G049954
Zm00001d020443	GRMZM2G049990
Zm00001d011471	GRMZM2G050003
Zm00001d017058	GRMZM2G050027
Zm00001d011348	GRMZM2G050072
Zm00001d020957	GRMZM2G050076
Zm00001d029025	GRMZM2G050077
Zm00001d015354	GRMZM2G050080
Zm00001d033564	GRMZM2G050085
Zm00001d043083	GRMZM2G050089
Zm00001d022557	GRMZM2G050108
Zm00001d049637	GRMZM2G050118
Zm00001d021505	GRMZM2G050126
Zm00001d004344	GRMZM2G050131
Zm00001d046823	GRMZM2G050137
Zm00001d048191	GRMZM2G050159
Zm00001d045493	GRMZM2G050166
Zm00001d020639	GRMZM2G050172
Zm00001d031303	GRMZM2G050177
Zm00001d050822	GRMZM2G050186
Zm00001d006238	GRMZM2G050193
Zm00001d022431	GRMZM2G050201
Zm00001d002565	GRMZM2G050216
Zm00001d052820	GRMZM2G050218
Zm00001d002564	GRMZM2G050234
Zm00001d006237	GRMZM2G050268
Zm00001d011349	GRMZM2G050270
Zm00001d031303	GRMZM2G050273
Zm00001d010434	GRMZM2G050286
Zm00001d006236	GRMZM2G050305
Zm00001d052827	GRMZM2G050307
Zm00001d013920	GRMZM2G050309
Zm00001d052828	GRMZM2G050321
Zm00001d008287	GRMZM2G050325
Zm00001d045491	GRMZM2G050329
Zm00001d045490	GRMZM2G050333
Zm00001d009775	GRMZM2G050364
Zm00001d051563	GRMZM2G050371
Zm00001d008288	GRMZM2G050384
Zm00001d023895	GRMZM2G050394
Zm00001d045489	GRMZM2G050410
Zm00001d035561	GRMZM2G050412
Zm00001d031426	GRMZM2G050427
Zm00001d044587	GRMZM2G050434
Zm00001d003369	GRMZM2G050435
Zm00001d014748	GRMZM2G050450
Zm00001d003370	GRMZM2G050458
Zm00001d014749	GRMZM2G050460
Zm00001d053217	GRMZM2G050467
Zm00001d009386	GRMZM2G050470
Zm00001d031364	GRMZM2G050481
Zm00001d053665	GRMZM2G050484
Zm00001d011311	GRMZM2G050485
Zm00001d025504	GRMZM2G050495
Zm00001d022058	GRMZM2G050501
Zm00001d034109	GRMZM2G050512
Zm00001d028260	GRMZM2G050514
Zm00001d031366	GRMZM2G050536
Zm00001d011312	GRMZM2G050548
Zm00001d019712	GRMZM2G050550
Zm00001d011222	GRMZM2G050553
Zm00001d031760	GRMZM2G050556
Zm00001d035300	GRMZM2G050561
Zm00001d043780	GRMZM2G050570
Zm00001d032073	GRMZM2G050583
Zm00001d004512	GRMZM2G050590
Zm00001d043779	GRMZM2G050596
Zm00001d009382	GRMZM2G050607
Zm00001d010093	GRMZM2G050625
Zm00001d053273	GRMZM2G050628
Zm00001d045927	GRMZM2G050641
Zm00001d036655	GRMZM2G050645
Zm00001d025398	GRMZM2G050647
Zm00001d049210	GRMZM2G050649
Zm00001d005579	GRMZM2G050658
Zm00001d033397	GRMZM2G050684
Zm00001d012203	GRMZM2G050693
Zm00001d043778	GRMZM2G050697
Zm00001d036656	GRMZM2G050701
Zm00001d035298	GRMZM2G050705
Zm00001d023394	GRMZM2G050709
Zm00001d006227	GRMZM2G050714
Zm00001d037299	GRMZM2G050727
Zm00001d023395	GRMZM2G050730
Zm00001d017780	GRMZM2G050734
Zm00001d013166	GRMZM2G050741
Zm00001d037298	GRMZM2G050748
Zm00001d036657	GRMZM2G050765
Zm00001d035386	GRMZM2G050768
Zm00001d023396	GRMZM2G050774
Zm00001d010862	GRMZM2G050800
Zm00001d012204	GRMZM2G050803
Zm00001d035130	GRMZM2G050810
Zm00001d028473	GRMZM2G050825
Zm00001d013300	GRMZM2G050833
Zm00001d035515	GRMZM2G050842
Zm00001d039456	GRMZM2G050845
Zm00001d032095	GRMZM2G050851
Zm00001d003673	GRMZM2G050861
Zm00001d046566	GRMZM2G050867
Zm00001d025830	GRMZM2G050882
Zm00001d005442	GRMZM2G050885
Zm00001d039455	GRMZM2G050890
Zm00001d046564	GRMZM2G050912
Zm00001d033895	GRMZM2G050914
Zm00001d039397	GRMZM2G050915
Zm00001d036993	GRMZM2G050917
Zm00001d003672	GRMZM2G050925
Zm00001d021745	GRMZM2G050933
Zm00001d004288	GRMZM2G050937
Zm00001d035514	GRMZM2G050939
Zm00001d039399	GRMZM2G050952
Zm00001d052581	GRMZM2G050959
Zm00001d029997	GRMZM2G050961
Zm00001d045372	GRMZM2G050971
Zm00001d049333	GRMZM2G050982
Zm00001d029626	GRMZM2G050984
Zm00001d053797	GRMZM2G050994
Zm00001d042148	GRMZM2G050997
Zm00001d053798	GRMZM2G051004
Zm00001d018367	GRMZM2G051005
Zm00001d048458	GRMZM2G051009
Zm00001d037009	GRMZM2G051012
Zm00001d048459	GRMZM2G051032
Zm00001d049334	GRMZM2G051042
Zm00001d039401	GRMZM2G051043
Zm00001d010565	GRMZM2G051045
Zm00001d010564	GRMZM2G051050
Zm00001d039162	GRMZM2G051055
Zm00001d045373	GRMZM2G051059
Zm00001d017050	GRMZM2G051079
Zm00001d021744	GRMZM2G051090
Zm00001d053289	GRMZM2G051101
Zm00001d048460	GRMZM2G051103
Zm00001d030663	GRMZM2G051114
Zm00001d022622	GRMZM2G051129
Zm00001d046471	GRMZM2G051135
Zm00001d047946	GRMZM2G051138
Zm00001d043525	GRMZM2G051151
Zm00001d040622	GRMZM2G051153
Zm00001d031199	GRMZM2G051168
Zm00001d014246	GRMZM2G051174
Zm00001d002797	GRMZM2G051179
Zm00001d053288	GRMZM2G051185
Zm00001d045285	GRMZM2G051197
Zm00001d053800	GRMZM2G051208
Zm00001d048461	GRMZM2G051219
Zm00001d045509	GRMZM2G051247
Zm00001d040621	GRMZM2G051256
Zm00001d039403	GRMZM2G051262
Zm00001d013296	GRMZM2G051270
Zm00001d053801	GRMZM2G051276
Zm00001d043527	GRMZM2G051288
Zm00001d049888	GRMZM2G051311
Zm00001d039404	GRMZM2G051327
Zm00001d044877	GRMZM2G051330
Zm00001d036242	GRMZM2G051338
Zm00001d021258	GRMZM2G051339
Zm00001d003525	GRMZM2G051355
Zm00001d005248	GRMZM2G051367
Zm00001d049892	GRMZM2G051374
Zm00001d013295	GRMZM2G051403
Zm00001d051725	GRMZM2G051417
Zm00001d051725	GRMZM2G051427
Zm00001d051727	GRMZM2G051456
Zm00001d039541	GRMZM2G051458
Zm00001d034484	GRMZM2G051466
Zm00001d037721	GRMZM2G051474
Zm00001d005053	GRMZM2G051491
Zm00001d053171	GRMZM2G051502
Zm00001d009087	GRMZM2G051522
Zm00001d009088	GRMZM2G051528
Zm00001d005052	GRMZM2G051534
Zm00001d053172	GRMZM2G051541
Zm00001d047608	GRMZM2G051545
Zm00001d003185	GRMZM2G051571
Zm00001d040144	GRMZM2G051577
Zm00001d047608	GRMZM2G051613
Zm00001d037724	GRMZM2G051619
Zm00001d040142	GRMZM2G051622
Zm00001d020853	GRMZM2G051626
Zm00001d037725	GRMZM2G051630
Zm00001d023425	GRMZM2G051637
Zm00001d009034	GRMZM2G051659
Zm00001d034778	GRMZM2G051675
Zm00001d035037	GRMZM2G051677
Zm00001d043752	GRMZM2G051683
Zm00001d048066	GRMZM2G051689
Zm00001d052519	GRMZM2G051697
Zm00001d021656	GRMZM2G051709
Zm00001d019809	GRMZM2G051720
Zm00001d004924	GRMZM2G051738
Zm00001d039646	GRMZM2G051745
Zm00001d049902	GRMZM2G051750
Zm00001d005657	GRMZM2G051752
Zm00001d039647	GRMZM2G051753
Zm00001d019468	GRMZM2G051756
Zm00001d009289	GRMZM2G051758
Zm00001d044315	GRMZM2G051764
Zm00001d011166	GRMZM2G051767
Zm00001d019467	GRMZM2G051771
Zm00001d048065	GRMZM2G051782
Zm00001d045589	GRMZM2G051785
Zm00001d052520	GRMZM2G051787
Zm00001d009288	GRMZM2G051790
Zm00001d036765	GRMZM2G051792
Zm00001d018776	GRMZM2G051793
Zm00001d031704	GRMZM2G051795
Zm00001d037689	GRMZM2G051806
Zm00001d029340	GRMZM2G051836
Zm00001d008406	GRMZM2G051842
Zm00001d053636	GRMZM2G051848
Zm00001d025699	GRMZM2G051852
Zm00001d044364	GRMZM2G051855
Zm00001d025855	GRMZM2G051866
Zm00001d029394	GRMZM2G051879
Zm00001d051048	GRMZM2G051882
Zm00001d045559	GRMZM2G051890
Zm00001d033333	GRMZM2G051894
Zm00001d047607	GRMZM2G051896
Zm00001d003186	GRMZM2G051898
Zm00001d003187	GRMZM2G051912
Zm00001d001803	GRMZM2G051917
Zm00001d003188	GRMZM2G051921
Zm00001d003089	GRMZM2G051932
Zm00001d003190	GRMZM2G051943
Zm00001d045558	GRMZM2G051949
Zm00001d003088	GRMZM2G051952
Zm00001d005757	GRMZM2G051955
Zm00001d000442	GRMZM2G051958
Zm00001d001804	GRMZM2G051974
Zm00001d003212	GRMZM2G051984
Zm00001d011379	GRMZM2G051995
Zm00001d039217	GRMZM2G052006
Zm00001d015744	GRMZM2G052011
Zm00001d029141	GRMZM2G052034
Zm00001d024241	GRMZM2G052036
Zm00001d032218	GRMZM2G052045
Zm00001d050422	GRMZM2G052067
Zm00001d003087	GRMZM2G052078
Zm00001d044315	GRMZM2G052088
Zm00001d041570	GRMZM2G052093
Zm00001d025401	GRMZM2G052100
Zm00001d053442	GRMZM2G052102
Zm00001d019816	GRMZM2G052105
Zm00001d039218	GRMZM2G052111
Zm00001d032219	GRMZM2G052123
Zm00001d039219	GRMZM2G052129
Zm00001d003198	GRMZM2G052142
Zm00001d029142	GRMZM2G052148
Zm00001d025063	GRMZM2G052166
Zm00001d003191	GRMZM2G052175
Zm00001d001808	GRMZM2G052178
Zm00001d010806	GRMZM2G052200
Zm00001d029143	GRMZM2G052206
Zm00001d007587	GRMZM2G052213
Zm00001d021251	GRMZM2G052233
Zm00001d034984	GRMZM2G052239
Zm00001d007586	GRMZM2G052241
Zm00001d010120	GRMZM2G052255
Zm00001d020984	GRMZM2G052266
Zm00001d004165	GRMZM2G052268
Zm00001d004818	GRMZM2G052277
Zm00001d004885	GRMZM2G052279
Zm00001d021321	GRMZM2G052288
Zm00001d004818	GRMZM2G052323
Zm00001d024298	GRMZM2G052328
Zm00001d021249	GRMZM2G052336
Zm00001d026592	GRMZM2G052339
Zm00001d017193	GRMZM2G052341
Zm00001d029806	GRMZM2G052344
Zm00001d049804	GRMZM2G052357
Zm00001d010119	GRMZM2G052364
Zm00001d043327	GRMZM2G052365
Zm00001d045938	GRMZM2G052373
Zm00001d039700	GRMZM2G052377
Zm00001d004072	GRMZM2G052386
Zm00001d045606	GRMZM2G052389
Zm00001d016478	GRMZM2G052402
Zm00001d007698	GRMZM2G052403
Zm00001d007039	GRMZM2G052416
Zm00001d010118	GRMZM2G052418
Zm00001d018211	GRMZM2G052422
Zm00001d013179	GRMZM2G052423
Zm00001d006355	GRMZM2G052434
Zm00001d016479	GRMZM2G052435
Zm00001d020542	GRMZM2G052442
Zm00001d007695	GRMZM2G052457
Zm00001d031922	GRMZM2G052461
Zm00001d013178	GRMZM2G052467
Zm00001d034429	GRMZM2G052471
Zm00001d021248	GRMZM2G052474
Zm00001d013177	GRMZM2G052476
Zm00001d028704	GRMZM2G052479
Zm00001d021247	GRMZM2G052483
Zm00001d023466	GRMZM2G052499
Zm00001d007372	GRMZM2G052507
Zm00001d021246	GRMZM2G052509
Zm00001d023465	GRMZM2G052515
Zm00001d015407	GRMZM2G052544
Zm00001d027309	GRMZM2G052546
Zm00001d045302	GRMZM2G052562
Zm00001d002141	GRMZM2G052569
Zm00001d042099	GRMZM2G052571
Zm00001d028705	GRMZM2G052581
Zm00001d027271	GRMZM2G052586
Zm00001d023931	GRMZM2G052606
Zm00001d021245	GRMZM2G052610
Zm00001d040775	GRMZM2G052616
Zm00001d030998	GRMZM2G052619
Zm00001d045773	GRMZM2G052621
Zm00001d042098	GRMZM2G052625
Zm00001d010970	GRMZM2G052630
Zm00001d003039	GRMZM2G052644
Zm00001d030999	GRMZM2G052650
Zm00001d047184	GRMZM2G052654
Zm00001d018318	GRMZM2G052658
Zm00001d029965	GRMZM2G052666
Zm00001d020595	GRMZM2G052667
Zm00001d049522	GRMZM2G052670
Zm00001d006001	GRMZM2G052671
Zm00001d029761	GRMZM2G052685
Zm00001d003040	GRMZM2G052688
Zm00001d016894	GRMZM2G052699
Zm00001d033691	GRMZM2G052701
Zm00001d041778	GRMZM2G052713
Zm00001d053859	GRMZM2G052720
Zm00001d028488	GRMZM2G052728
Zm00001d053858	GRMZM2G052740
Zm00001d018316	GRMZM2G052750
Zm00001d043427	GRMZM2G052776
Zm00001d040837	GRMZM2G052796
Zm00001d036024	GRMZM2G052812
Zm00001d043353	GRMZM2G052816
Zm00001d021243	GRMZM2G052817
Zm00001d015724	GRMZM2G052821
Zm00001d034986	GRMZM2G052825
Zm00001d011369	GRMZM2G052844
Zm00001d010174	GRMZM2G052855
Zm00001d008620	GRMZM2G052869
Zm00001d008236	GRMZM2G052875
Zm00001d015890	GRMZM2G052880
Zm00001d037737	GRMZM2G052890
Zm00001d021242	GRMZM2G052893
Zm00001d053772	GRMZM2G052902
Zm00001d006026	GRMZM2G052908
Zm00001d053406	GRMZM2G052920
Zm00001d010173	GRMZM2G052926
Zm00001d005151	GRMZM2G052935
Zm00001d038418	GRMZM2G052939
Zm00001d053770	GRMZM2G052948
Zm00001d007888	GRMZM2G052985
Zm00001d044187	GRMZM2G052991
Zm00001d047242	GRMZM2G053004
Zm00001d025105	GRMZM2G053008
Zm00001d003612	GRMZM2G053019
Zm00001d034491	GRMZM2G053023
Zm00001d031684	GRMZM2G053027
Zm00001d032089	GRMZM2G053037
Zm00001d044188	GRMZM2G053047
Zm00001d014688	GRMZM2G053066
Zm00001d051551	GRMZM2G053071
Zm00001d030091	GRMZM2G053079
Zm00001d021436	GRMZM2G053083
Zm00001d003614	GRMZM2G053111
Zm00001d031685	GRMZM2G053117
Zm00001d048850	GRMZM2G053120
Zm00001d021437	GRMZM2G053126
Zm00001d044189	GRMZM2G053140
Zm00001d045014	GRMZM2G053170
Zm00001d000009	GRMZM2G053177
Zm00001d045014	GRMZM2G053196
Zm00001d047835	GRMZM2G053199
Zm00001d007753	GRMZM2G053206
Zm00001d045625	GRMZM2G053210
Zm00001d021441	GRMZM2G053223
Zm00001d017330	GRMZM2G053236
Zm00001d007635	GRMZM2G053239
Zm00001d009756	GRMZM2G053261
Zm00001d042180	GRMZM2G053273
Zm00001d042731	GRMZM2G053284
Zm00001d021442	GRMZM2G053298
Zm00001d034761	GRMZM2G053299
Zm00001d018016	GRMZM2G053303
Zm00001d021443	GRMZM2G053307
Zm00001d007106	GRMZM2G053311
Zm00001d021444	GRMZM2G053315
Zm00001d040178	GRMZM2G053319
Zm00001d009967	GRMZM2G053322
Zm00001d022017	GRMZM2G053338
Zm00001d012904	GRMZM2G053378
Zm00001d007518	GRMZM2G053384
Zm00001d012906	GRMZM2G053387
Zm00001d009755	GRMZM2G053394
Zm00001d018019	GRMZM2G053396
Zm00001d035503	GRMZM2G053397
Zm00001d018022	GRMZM2G053420
Zm00001d007108	GRMZM2G053434
Zm00001d034760	GRMZM2G053458
Zm00001d004817	GRMZM2G053466
Zm00001d019364	GRMZM2G053493
Zm00001d014761	GRMZM2G053500
Zm00001d009103	GRMZM2G053503
Zm00001d050248	GRMZM2G053507
Zm00001d050091	GRMZM2G053511
Zm00001d020283	GRMZM2G053514
Zm00001d030561	GRMZM2G053531
Zm00001d022445	GRMZM2G053554
Zm00001d003179	GRMZM2G053557
Zm00001d009359	GRMZM2G053574
Zm00001d045603	GRMZM2G053588
Zm00001d049479	GRMZM2G053600
Zm00001d010055	GRMZM2G053610
Zm00001d021867	GRMZM2G053622
Zm00001d027973	GRMZM2G053627
Zm00001d004468	GRMZM2G053631
Zm00001d019345	GRMZM2G053637
Zm00001d047706	GRMZM2G053639
Zm00001d021867	GRMZM2G053642
Zm00001d047707	GRMZM2G053652
Zm00001d028750	GRMZM2G053669
Zm00001d014950	GRMZM2G053676
Zm00001d041399	GRMZM2G053692
Zm00001d014949	GRMZM2G053707
Zm00001d015103	GRMZM2G053711
Zm00001d007530	GRMZM2G053713
Zm00001d029853	GRMZM2G053720
Zm00001d053313	GRMZM2G053722
Zm00001d044606	GRMZM2G053726
Zm00001d029852	GRMZM2G053742
Zm00001d049840	GRMZM2G053749
Zm00001d029588	GRMZM2G053757
Zm00001d032831	GRMZM2G053764
Zm00001d052072	GRMZM2G053766
Zm00001d037267	GRMZM2G053767
Zm00001d020794	GRMZM2G053779
Zm00001d020175	GRMZM2G053781
Zm00001d042799	GRMZM2G053801
Zm00001d034758	GRMZM2G053803
Zm00001d015101	GRMZM2G053830
Zm00001d047290	GRMZM2G053831
Zm00001d007015	GRMZM2G053833
Zm00001d002413	GRMZM2G053839
Zm00001d015100	GRMZM2G053868
Zm00001d042800	GRMZM2G053869
Zm00001d010428	GRMZM2G053882
Zm00001d002414	GRMZM2G053890
Zm00001d012042	GRMZM2G053898
Zm00001d047709	GRMZM2G053908
Zm00001d002416	GRMZM2G053909
Zm00001d034757	GRMZM2G053916
Zm00001d038089	GRMZM2G053921
Zm00001d016008	GRMZM2G053925
Zm00001d019703	GRMZM2G053927
Zm00001d003240	GRMZM2G053929
Zm00001d053376	GRMZM2G053934
Zm00001d022152	GRMZM2G053939
Zm00001d029611	GRMZM2G053946
Zm00001d010881	GRMZM2G053952
Zm00001d020176	GRMZM2G053958
Zm00001d002848	GRMZM2G053977
Zm00001d037981	GRMZM2G053980
Zm00001d003521	GRMZM2G053985
Zm00001d047758	GRMZM2G053987
Zm00001d011001	GRMZM2G053991
Zm00001d022152	GRMZM2G053999
Zm00001d052003	GRMZM2G054012
Zm00001d051529	GRMZM2G054013
Zm00001d047292	GRMZM2G054020
Zm00001d016009	GRMZM2G054023
Zm00001d037266	GRMZM2G054028
Zm00001d022151	GRMZM2G054032
Zm00001d010884	GRMZM2G054040
Zm00001d003239	GRMZM2G054046
Zm00001d020113	GRMZM2G054048
Zm00001d040034	GRMZM2G054050
Zm00001d038091	GRMZM2G054056
Zm00001d052002	GRMZM2G054065
Zm00001d037265	GRMZM2G054070
Zm00001d052001	GRMZM2G054076
Zm00001d046827	GRMZM2G054093
Zm00001d050800	GRMZM2G054109
Zm00001d027623	GRMZM2G054111
Zm00001d043650	GRMZM2G054115
Zm00001d019260	GRMZM2G054120
Zm00001d009146	GRMZM2G054123
Zm00001d049173	GRMZM2G054125
Zm00001d002547	GRMZM2G054130
Zm00001d045881	GRMZM2G054133
Zm00001d022180	GRMZM2G054136
Zm00001d050019	GRMZM2G054139
Zm00001d053377	GRMZM2G054149
Zm00001d032715	GRMZM2G054152
Zm00001d021734	GRMZM2G054155
Zm00001d054070	GRMZM2G054162
Zm00001d013055	GRMZM2G054193
Zm00001d017719	GRMZM2G054201
Zm00001d051998	GRMZM2G054210
Zm00001d043649	GRMZM2G054221
Zm00001d013053	GRMZM2G054224
Zm00001d002125	GRMZM2G054225
Zm00001d010053	GRMZM2G054227
Zm00001d053378	GRMZM2G054233
Zm00001d009440	GRMZM2G054247
Zm00001d023880	GRMZM2G054250
Zm00001d031655	GRMZM2G054252
Zm00001d019057	GRMZM2G054267
Zm00001d021069	GRMZM2G054277
Zm00001d047757	GRMZM2G054300
Zm00001d024657	GRMZM2G054309
Zm00001d028689	GRMZM2G054332
Zm00001d011955	GRMZM2G054341
Zm00001d013052	GRMZM2G054350
Zm00001d051528	GRMZM2G054354
Zm00001d024611	GRMZM2G054359
Zm00001d033862	GRMZM2G054361
Zm00001d012794	GRMZM2G054378
Zm00001d011956	GRMZM2G054380
Zm00001d039667	GRMZM2G054387
Zm00001d023881	GRMZM2G054393
Zm00001d024612	GRMZM2G054397
Zm00001d019059	GRMZM2G054405
Zm00001d039668	GRMZM2G054410
Zm00001d025951	GRMZM2G054418
Zm00001d046794	GRMZM2G054448
Zm00001d046676	GRMZM2G054465
Zm00001d037352	GRMZM2G054468
Zm00001d043842	GRMZM2G054470
Zm00001d023366	GRMZM2G054481
Zm00001d039669	GRMZM2G054509
Zm00001d051528	GRMZM2G054522
Zm00001d026307	GRMZM2G054537
Zm00001d039670	GRMZM2G054559
Zm00001d023882	GRMZM2G054564
Zm00001d010965	GRMZM2G054588
Zm00001d025952	GRMZM2G054591
Zm00001d047424	GRMZM2G054603
Zm00001d044661	GRMZM2G054610
Zm00001d025953	GRMZM2G054615
Zm00001d015194	GRMZM2G054621
Zm00001d019044	GRMZM2G054628
Zm00001d025416	GRMZM2G054632
Zm00001d047053	GRMZM2G054634
Zm00001d048899	GRMZM2G054651
Zm00001d029701	GRMZM2G054653
Zm00001d021920	GRMZM2G054658
Zm00001d043841	GRMZM2G054663
Zm00001d012797	GRMZM2G054678
Zm00001d009438	GRMZM2G054689
Zm00001d044663	GRMZM2G054703
Zm00001d015195	GRMZM2G054706
Zm00001d042386	GRMZM2G054713
Zm00001d043841	GRMZM2G054715
Zm00001d015196	GRMZM2G054765
Zm00001d002829	GRMZM2G054795
Zm00001d019629	GRMZM2G054803
Zm00001d014542	GRMZM2G054805
Zm00001d042887	GRMZM2G054807
Zm00001d043275	GRMZM2G054811
Zm00001d043109	GRMZM2G054821
Zm00001d015197	GRMZM2G054833
Zm00001d040997	GRMZM2G054852
Zm00001d021861	GRMZM2G054870
Zm00001d053103	GRMZM2G054896
Zm00001d011228	GRMZM2G054900
Zm00001d043274	GRMZM2G054905
Zm00001d029062	GRMZM2G054916
Zm00001d019672	GRMZM2G054936
Zm00001d035129	GRMZM2G054946
Zm00001d048335	GRMZM2G054969
Zm00001d004755	GRMZM2G054987
Zm00001d036628	GRMZM2G054998
Zm00001d043273	GRMZM2G055000
Zm00001d019629	GRMZM2G055009
Zm00001d046487	GRMZM2G055018
Zm00001d038082	GRMZM2G055020
Zm00001d048674	GRMZM2G055024
Zm00001d028102	GRMZM2G055025
Zm00001d033419	GRMZM2G055037
Zm00001d028374	GRMZM2G055052
Zm00001d034208	GRMZM2G055054
Zm00001d024437	GRMZM2G055059
Zm00001d024436	GRMZM2G055070
Zm00001d039425	GRMZM2G055089
Zm00001d028103	GRMZM2G055101
Zm00001d048334	GRMZM2G055107
Zm00001d009837	GRMZM2G055116
Zm00001d010419	GRMZM2G055119
Zm00001d018083	GRMZM2G055124
Zm00001d024510	GRMZM2G055125
Zm00001d049525	GRMZM2G055135
Zm00001d049501	GRMZM2G055141
Zm00001d032130	GRMZM2G055143
Zm00001d018082	GRMZM2G055150
Zm00001d014850	GRMZM2G055154
Zm00001d015379	GRMZM2G055155
Zm00001d051788	GRMZM2G055158
Zm00001d004582	GRMZM2G055162
Zm00001d028104	GRMZM2G055172
Zm00001d025848	GRMZM2G055178
Zm00001d002762	GRMZM2G055180
Zm00001d018081	GRMZM2G055204
Zm00001d036968	GRMZM2G055209
Zm00001d021930	GRMZM2G055216
Zm00001d028105	GRMZM2G055217
Zm00001d012760	GRMZM2G055219
Zm00001d035214	GRMZM2G055238
Zm00001d046568	GRMZM2G055243
Zm00001d014972	GRMZM2G055251
Zm00001d019645	GRMZM2G055255
Zm00001d003762	GRMZM2G055257
Zm00001d028526	GRMZM2G055263
Zm00001d046916	GRMZM2G055273
Zm00001d043632	GRMZM2G055276
Zm00001d003761	GRMZM2G055279
Zm00001d028107	GRMZM2G055282
Zm00001d049502	GRMZM2G055309
Zm00001d039426	GRMZM2G055313
Zm00001d046915	GRMZM2G055320
Zm00001d050125	GRMZM2G055331
Zm00001d039427	GRMZM2G055334
Zm00001d039428	GRMZM2G055404
Zm00001d036400	GRMZM2G055413
Zm00001d003089	GRMZM2G055420
Zm00001d032432	GRMZM2G055431
Zm00001d039430	GRMZM2G055434
Zm00001d017537	GRMZM2G055435
Zm00001d025375	GRMZM2G055437
Zm00001d039891	GRMZM2G055446
Zm00001d043773	GRMZM2G055450
Zm00001d040798	GRMZM2G055458
Zm00001d010524	GRMZM2G055462
Zm00001d022332	GRMZM2G055464
Zm00001d052471	GRMZM2G055467
Zm00001d020915	GRMZM2G055469
Zm00001d010064	GRMZM2G055487
Zm00001d010523	GRMZM2G055489
Zm00001d005313	GRMZM2G055501
Zm00001d052472	GRMZM2G055507
Zm00001d049548	GRMZM2G055520
Zm00001d022333	GRMZM2G055527
Zm00001d052473	GRMZM2G055538
Zm00001d041163	GRMZM2G055545
Zm00001d018876	GRMZM2G055549
Zm00001d000270	GRMZM2G055567
Zm00001d027455	GRMZM2G055575
Zm00001d044379	GRMZM2G055578
Zm00001d043965	GRMZM2G055585
Zm00001d037921	GRMZM2G055606
Zm00001d022334	GRMZM2G055607
Zm00001d014895	GRMZM2G055619
Zm00001d007471	GRMZM2G055621
Zm00001d044378	GRMZM2G055629
Zm00001d010185	GRMZM2G055641
Zm00001d052566	GRMZM2G055643
Zm00001d010183	GRMZM2G055652
Zm00001d037920	GRMZM2G055657
Zm00001d026301	GRMZM2G055660
Zm00001d010180	GRMZM2G055667
Zm00001d037811	GRMZM2G055678
